Unnamed: 0,active,empty,lat,lng,time,in_use,name,id,total,date,timestamp,week,Precp,RH,WS,temp
61,1,28,25.062002,121.56018600000002,2016-04-01 13:39:25,24,民權運動公園,50,52,2016-04-01,13:39:25,4,0.0,67.0,2.2,22.0
286,1,29,25.062002,121.56018600000002,2016-04-01 13:44:30,23,民權運動公園,50,52,2016-04-01,13:44:30,4,0.0,67.0,2.2,22.0
510,1,32,25.062002,121.56018600000002,2016-04-01 13:49:27,20,民權運動公園,50,52,2016-04-01,13:49:27,4,0.0,67.0,2.2,22.0
734,1,32,25.062002,121.56018600000002,2016-04-01 13:54:25,20,民權運動公園,50,52,2016-04-01,13:54:25,4,0.0,67.0,2.2,22.0
958,1,33,25.062002,121.56018600000002,2016-04-01 13:59:26,19,民權運動公園,50,52,2016-04-01,13:59:26,4,0.0,67.0,2.2,22.0
1182,1,32,25.062002,121.56018600000002,2016-04-01 14:04:26,20,民權運動公園,50,52,2016-04-01,14:04:26,4,0.0,67.0,2.1,21.9
1406,1,33,25.062002,121.56018600000002,2016-04-01 14:09:26,19,民權運動公園,50,52,2016-04-01,14:09:26,4,0.0,67.0,2.1,21.9
1630,1,34,25.062002,121.56018600000002,2016-04-01 14:14:26,18,民權運動公園,50,52,2016-04-01,14:14:26,4,0.0,67.0,2.1,21.9
1853,1,34,25.062002,121.56018600000002,2016-04-01 14:19:26,18,民權運動公園,50,52,2016-04-01,14:19:26,4,0.0,67.0,2.1,21.9
2076,1,34,25.062002,121.56018600000002,2016-04-01 14:24:26,18,民權運動公園,50,52,2016-04-01,14:24:26,4,0.0,67.0,2.1,21.9
2565,1,32,25.062002,121.56018600000002,2016-04-01 14:39:26,20,民權運動公園,50,52,2016-04-01,14:39:26,4,0.0,67.0,2.1,21.9
2698,1,30,25.062002,121.56018600000002,2016-04-01 14:44:26,22,民權運動公園,50,52,2016-04-01,14:44:26,4,0.0,67.0,2.1,21.9
3112,1,29,25.062002,121.56018600000002,2016-04-01 14:59:26,23,民權運動公園,50,52,2016-04-01,14:59:26,4,0.0,67.0,2.1,21.9
3391,1,30,25.062002,121.56018600000002,2016-04-01 15:09:26,22,民權運動公園,50,52,2016-04-01,15:09:26,4,0.0,67.0,1.8,22.1
3822,1,26,25.062002,121.56018600000002,2016-04-01 15:24:26,26,民權運動公園,50,52,2016-04-01,15:24:26,4,0.0,67.0,1.8,22.1
4091,1,27,25.062002,121.56018600000002,2016-04-01 15:34:26,25,民權運動公園,50,52,2016-04-01,15:34:26,4,0.0,67.0,1.8,22.1
4380,1,26,25.062002,121.56018600000002,2016-04-01 15:44:26,26,民權運動公園,50,52,2016-04-01,15:44:26,4,0.0,67.0,1.8,22.1
4664,1,27,25.062002,121.56018600000002,2016-04-01 15:54:26,25,民權運動公園,50,52,2016-04-01,15:54:26,4,0.0,67.0,1.8,22.1
4928,1,26,25.062002,121.56018600000002,2016-04-01 16:04:26,26,民權運動公園,50,52,2016-04-01,16:04:26,4,0.0,68.0,2.3,21.9
5212,1,28,25.062002,121.56018600000002,2016-04-01 16:14:26,24,民權運動公園,50,52,2016-04-01,16:14:26,4,0.0,68.0,2.3,21.9
5535,1,27,25.062002,121.56018600000002,2016-04-01 16:24:26,25,民權運動公園,50,52,2016-04-01,16:24:26,4,0.0,68.0,2.3,21.9
5681,1,29,25.062002,121.56018600000002,2016-04-01 16:29:26,23,民權運動公園,50,52,2016-04-01,16:29:26,4,0.0,68.0,2.3,21.9
5834,1,30,25.062002,121.56018600000002,2016-04-01 16:34:25,22,民權運動公園,50,52,2016-04-01,16:34:25,4,0.0,68.0,2.3,21.9
5989,1,29,25.062002,121.56018600000002,2016-04-01 16:39:26,23,民權運動公園,50,52,2016-04-01,16:39:26,4,0.0,68.0,2.3,21.9
6146,1,28,25.062002,121.56018600000002,2016-04-01 16:44:26,24,民權運動公園,50,52,2016-04-01,16:44:26,4,0.0,68.0,2.3,21.9
6296,1,26,25.062002,121.56018600000002,2016-04-01 16:49:26,26,民權運動公園,50,52,2016-04-01,16:49:26,4,0.0,68.0,2.3,21.9
6452,1,25,25.062002,121.56018600000002,2016-04-01 16:54:26,27,民權運動公園,50,52,2016-04-01,16:54:26,4,0.0,68.0,2.3,21.9
6608,1,23,25.062002,121.56018600000002,2016-04-01 16:59:26,29,民權運動公園,50,52,2016-04-01,16:59:26,4,0.0,68.0,2.3,21.9
6768,1,22,25.062002,121.56018600000002,2016-04-01 17:04:25,30,民權運動公園,50,52,2016-04-01,17:04:25,4,0.0,69.0,1.5,21.8
6938,1,21,25.062002,121.56018600000002,2016-04-01 17:09:25,31,民權運動公園,50,52,2016-04-01,17:09:25,4,0.0,69.0,1.5,21.8
7256,1,22,25.062002,121.56018600000002,2016-04-01 17:19:26,30,民權運動公園,50,52,2016-04-01,17:19:26,4,0.0,69.0,1.5,21.8
7424,1,23,25.062002,121.56018600000002,2016-04-01 17:24:28,29,民權運動公園,50,52,2016-04-01,17:24:28,4,0.0,69.0,1.5,21.8
7590,1,24,25.062002,121.56018600000002,2016-04-01 17:29:26,28,民權運動公園,50,52,2016-04-01,17:29:26,4,0.0,69.0,1.5,21.8
7749,1,21,25.062002,121.56018600000002,2016-04-01 17:34:26,31,民權運動公園,50,52,2016-04-01,17:34:26,4,0.0,69.0,1.5,21.8
8235,1,22,25.062002,121.56018600000002,2016-04-01 17:49:26,30,民權運動公園,50,52,2016-04-01,17:49:26,4,0.0,69.0,1.5,21.8
8398,1,20,25.062002,121.56018600000002,2016-04-01 17:54:26,32,民權運動公園,50,52,2016-04-01,17:54:26,4,0.0,69.0,1.5,21.8
8567,1,19,25.062002,121.56018600000002,2016-04-01 17:59:26,33,民權運動公園,50,52,2016-04-01,17:59:26,4,0.0,69.0,1.5,21.8
8737,1,22,25.062002,121.56018600000002,2016-04-01 18:04:26,30,民權運動公園,50,52,2016-04-01,18:04:26,4,0.0,71.0,0.7,21.5
9061,1,22,25.062002,121.56018600000002,2016-04-01 18:14:26,29,民權運動公園,50,52,2016-04-01,18:14:26,4,0.0,71.0,0.7,21.5
9234,1,21,25.062002,121.56018600000002,2016-04-01 18:19:25,31,民權運動公園,50,52,2016-04-01,18:19:25,4,0.0,71.0,0.7,21.5
9403,1,23,25.062002,121.56018600000002,2016-04-01 18:24:26,29,民權運動公園,50,52,2016-04-01,18:24:26,4,0.0,71.0,0.7,21.5
9741,1,24,25.062002,121.56018600000002,2016-04-01 18:34:26,28,民權運動公園,50,52,2016-04-01,18:34:26,4,0.0,71.0,0.7,21.5
9900,1,26,25.062002,121.56018600000002,2016-04-01 18:39:26,26,民權運動公園,50,52,2016-04-01,18:39:26,4,0.0,71.0,0.7,21.5
10060,1,25,25.062002,121.56018600000002,2016-04-01 18:44:25,27,民權運動公園,50,52,2016-04-01,18:44:25,4,0.0,71.0,0.7,21.5
10230,1,26,25.062002,121.56018600000002,2016-04-01 18:49:26,26,民權運動公園,50,52,2016-04-01,18:49:26,4,0.0,71.0,0.7,21.5
10568,1,28,25.062002,121.56018600000002,2016-04-01 18:59:26,24,民權運動公園,50,52,2016-04-01,18:59:26,4,0.0,71.0,0.7,21.5
10734,1,26,25.062002,121.56018600000002,2016-04-01 19:04:25,26,民權運動公園,50,52,2016-04-01,19:04:25,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
10911,1,25,25.062002,121.56018600000002,2016-04-01 19:09:26,27,民權運動公園,50,52,2016-04-01,19:09:26,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
11063,1,26,25.062002,121.56018600000002,2016-04-01 19:14:26,26,民權運動公園,50,52,2016-04-01,19:14:26,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
11225,1,28,25.062002,121.56018600000002,2016-04-01 19:19:26,24,民權運動公園,50,52,2016-04-01,19:19:26,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
11701,1,26,25.062002,121.56018600000002,2016-04-01 19:34:26,26,民權運動公園,50,52,2016-04-01,19:34:26,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
11852,1,25,25.062002,121.56018600000002,2016-04-01 19:39:26,27,民權運動公園,50,52,2016-04-01,19:39:26,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
11999,1,23,25.062002,121.56018600000002,2016-04-01 19:44:26,29,民權運動公園,50,52,2016-04-01,19:44:26,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
12157,1,24,25.062002,121.56018600000002,2016-04-01 19:49:26,28,民權運動公園,50,52,2016-04-01,19:49:26,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
12474,1,23,25.062002,121.56018600000002,2016-04-01 19:59:32,29,民權運動公園,50,52,2016-04-01,19:59:32,4,0.0,74.68181818181819,1.5727272727272728,20.30909090909091
12620,1,22,25.062002,121.56018600000002,2016-04-01 20:04:33,30,民權運動公園,50,52,2016-04-01,20:04:33,4,0.0,75.0,0.7,20.9
12903,1,21,25.062002,121.56018600000002,2016-04-01 20:14:26,31,民權運動公園,50,52,2016-04-01,20:14:26,4,0.0,75.0,0.7,20.9
13053,1,22,25.062002,121.56018600000002,2016-04-01 20:19:29,30,民權運動公園,50,52,2016-04-01,20:19:29,4,0.0,75.0,0.7,20.9
13197,1,23,25.062002,121.56018600000002,2016-04-01 20:23:26,29,民權運動公園,50,52,2016-04-01,20:23:26,4,0.0,75.0,0.7,20.9
